text,label
"URGENT: Your bank account will be suspended in 24 hours. Click here to verify: http://secure-update-login.com",1
"Hi team, just a reminder that our weekly standup is moved to 11 AM today. See you then!",0
"Dear Customer, we detected unusual login activity. Please reset your password immediately at http://bit.ly/bank-reset-99",1
"Thanks for dinner last night! Let's do it again soon. I'll cover it next time.",0
"You have been selected for a $500 Amazon Gift Card! Claim now before the offer expires.",1
"Your order #9923 has shipped. Track your package here: https://amazon.com/track/9923",0
"IT HELPDESK: Required system upgrade. Please provide your employee ID and password to migrate your mailbox.",1
"Attached is the Q3 financial summary we discussed. Let me know if you need any revisions.",0
"Invoice #88392 attached. Please remit payment by Friday to avoid late fees. [Attachment: invoice_88392.zip]",1
"Hey, are we still meeting for coffee at Starbucks around 3?",0
"Action Required: Your Microsoft 365 subscription has expired. Renew immediately to prevent data loss.",1
"Can you review the attached draft for the upcoming marketing campaign when you have a moment?",0
"CONGRATULATIONS! Your email was drawn in our international lottery. Reply with your banking details to receive your funds.",1
"Mom, can you pick up some milk on your way home?",0
"Security Alert: Your PayPal account has been restricted. Resolve this issue by confirming your identity here.",1
